,comment,rating,sentimen,cleaned_comment,case_folding,text_tokens,text_stopword
441,Bages tapi kenapa sering nutup g bisa di bugga sering aku donlat lagih,5,1,Bagestapikenapaseringnutupgbisadibuggaseringakudonlatlagih,bagestapikenapaseringnutupgbisadibuggaseringakudonlatlagih,['bagestapikenapaseringnutupgbisadibuggaseringakudonlatlagih'],['bagestapikenapaseringnutupgbisadibuggaseringakudonlatlagih']
442,Coba dulu,1,-1,Cobadulu,cobadulu,['cobadulu'],['cobadulu']
443,Keren😍,5,1,Keren,keren,['keren'],['keren']
444,Sumpah ini keren banget apalagi kalau bosan tingal main tiktok biarpun dia pakek kouta tapi tetap seruu. Dan kita juga bisa bikin akun dan kita bisa dapat temen baru di tiktok juga bisa kirim-kirim pesan😆lima bintang si iniii😉🥳🥳😻😻⭐⭐⭐⭐⭐,5,1,SumpahinikerenbangetapalagikalaubosantingalmaintiktokbiarpundiapakekkoutatapitetapseruuDankitajugabisabikinakundankitabisadapattemenbaruditiktokjugabisakirimkirimpesanlimabintangsiiniii,sumpahinikerenbangetapalagikalaubosantingalmaintiktokbiarpundiapakekkoutatapitetapseruudankitajugabisabikinakundankitabisadapattemenbaruditiktokjugabisakirimkirimpesanlimabintangsiiniii,['sumpahinikerenbangetapalagikalaubosantingalmaintiktokbiarpundiapakekkoutatapitetapseruudankitajugabisabikinakundankitabisadapattemenbaruditiktokjugabisakirimkirimpesanlimabintangsiiniii'],['sumpahinikerenbangetapalagikalaubosantingalmaintiktokbiarpundiapakekkoutatapitetapseruudankitajugabisabikinakundankitabisadapattemenbaruditiktokjugabisakirimkirimpesanlimabintangsiiniii']
445,Knp sllu diperbaharui,5,1,Knpslludiperbaharui,knpslludiperbaharui,['knpslludiperbaharui'],['knpslludiperbaharui']
446,Ok,5,1,Ok,ok,['ok'],[]
447,Sangat keren,5,1,Sangatkeren,sangatkeren,['sangatkeren'],['sangatkeren']
448,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
449,The best,5,1,Thebest,thebest,['thebest'],['thebest']
450,nice,5,1,nice,nice,['nice'],['nice']
451,Bagus sekali,5,1,Bagussekali,bagussekali,['bagussekali'],['bagussekali']
452,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
453,Good👍,5,1,Good,good,['good'],['good']
454,Phbln Kg go kn,5,1,PhblnKggokn,phblnkggokn,['phblnkggokn'],['phblnkggokn']
455,"Aplikasi gk berguna,bikin hp lemot dan hp saya jd rusak,gara2 install Tik tok, affiliate jg susah, video dg suara bener2 dr suaranya tik tok ktnya melanggar, hadeeehh capek dehh,buat apa lu nyediain suara tp gk bs digunakan,bikin lemot penyimpanan nya nyampe 7giga, gila' ni aplikasi",1,-1,AplikasigkbergunabikinhplemotdanhpsayajdrusakgarainstallTiktokaffiliatejgsusahvideodgsuarabenerdrsuaranyatiktokktnyamelanggarhadeeehhcapekdehhbuatapalunyediainsuaratpgkbsdigunakanbikinlemotpenyimpanannyanyampegigagilaniaplikasi,aplikasigkbergunabikinhplemotdanhpsayajdrusakgarainstalltiktokaffiliatejgsusahvideodgsuarabenerdrsuaranyatiktokktnyamelanggarhadeeehhcapekdehhbuatapalunyediainsuaratpgkbsdigunakanbikinlemotpenyimpanannyanyampegigagilaniaplikasi,['aplikasigkbergunabikinhplemotdanhpsayajdrusakgarainstalltiktokaffiliatejgsusahvideodgsuarabenerdrsuaranyatiktokktnyamelanggarhadeeehhcapekdehhbuatapalunyediainsuaratpgkbsdigunakanbikinlemotpenyimpanannyanyampegigagilaniaplikasi'],['aplikasigkbergunabikinhplemotdanhpsayajdrusakgarainstalltiktokaffiliatejgsusahvideodgsuarabenerdrsuaranyatiktokktnyamelanggarhadeeehhcapekdehhbuatapalunyediainsuaratpgkbsdigunakanbikinlemotpenyimpanannyanyampegigagilaniaplikasi']
456,Asalam mulaikum knp yg setiaap mau pembaruaan apps ga bisa di dwonload mohon bantuaan kepada pengguan android maaf🙏 masi pemulaa,2,-1,Asalammulaikumknpygsetiaapmaupembaruaanappsgabisadidwonloadmohonbantuaankepadapengguanandroidmaafmasipemulaa,asalammulaikumknpygsetiaapmaupembaruaanappsgabisadidwonloadmohonbantuaankepadapengguanandroidmaafmasipemulaa,['asalammulaikumknpygsetiaapmaupembaruaanappsgabisadidwonloadmohonbantuaankepadapengguanandroidmaafmasipemulaa'],['asalammulaikumknpygsetiaapmaupembaruaanappsgabisadidwonloadmohonbantuaankepadapengguanandroidmaafmasipemulaa']
457,Aplikasi palin baik,5,1,Aplikasipalinbaik,aplikasipalinbaik,['aplikasipalinbaik'],['aplikasipalinbaik']
458,Terimakasih saya sangat senang dengan tiktok,5,1,Terimakasihsayasangatsenangdengantiktok,terimakasihsayasangatsenangdengantiktok,['terimakasihsayasangatsenangdengantiktok'],['terimakasihsayasangatsenangdengantiktok']
459,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
460,Siip,5,1,Siip,siip,['siip'],['siip']
461,Terbaik,5,1,Terbaik,terbaik,['terbaik'],['terbaik']
462,"kenapa bug truss, tiap kali mau buka aplikasinya kadang bisa kadang gabisa di buka eror trus, perasaan kemaren ga begini nih tiktok. tolong segera atasii please.",2,-1,kenapabugtrusstiapkalimaubukaaplikasinyakadangbisakadanggabisadibukaerortrusperasaankemarengabegininihtiktoktolongsegeraatasiiplease,kenapabugtrusstiapkalimaubukaaplikasinyakadangbisakadanggabisadibukaerortrusperasaankemarengabegininihtiktoktolongsegeraatasiiplease,['kenapabugtrusstiapkalimaubukaaplikasinyakadangbisakadanggabisadibukaerortrusperasaankemarengabegininihtiktoktolongsegeraatasiiplease'],['kenapabugtrusstiapkalimaubukaaplikasinyakadangbisakadanggabisadibukaerortrusperasaankemarengabegininihtiktoktolongsegeraatasiiplease']
463,Disfuta,5,1,Disfuta,disfuta,['disfuta'],['disfuta']
464,Kenapa efek berkurang dan buay stikernya hilang,4,1,Kenapaefekberkurangdanbuaystikernyahilang,kenapaefekberkurangdanbuaystikernyahilang,['kenapaefekberkurangdanbuaystikernyahilang'],['kenapaefekberkurangdanbuaystikernyahilang']
465,I'm very happy to use,5,1,Imveryhappytouse,imveryhappytouse,['imveryhappytouse'],['imveryhappytouse']
466,Paul ktl,1,-1,Paulktl,paulktl,['paulktl'],['paulktl']
467,Sangat bagus tapi sayang menginstalnya sangat lamama,5,1,Sangatbagustapisayangmenginstalnyasangatlamama,sangatbagustapisayangmenginstalnyasangatlamama,['sangatbagustapisayangmenginstalnyasangatlamama'],['sangatbagustapisayangmenginstalnyasangatlamama']
468,Kenapa aku kasih bintang 1 karena video ku tidak bisa fyp,1,-1,Kenapaakukasihbintangkarenavideokutidakbisafyp,kenapaakukasihbintangkarenavideokutidakbisafyp,['kenapaakukasihbintangkarenavideokutidakbisafyp'],['kenapaakukasihbintangkarenavideokutidakbisafyp']
469,Aplikasi,5,1,Aplikasi,aplikasi,['aplikasi'],['aplikasi']
470,"Coba,,,,!!!!!",4,1,Coba,coba,['coba'],['coba']
471,Tik tok,4,1,Tiktok,tiktok,['tiktok'],['tiktok']
472,Bagus sekali,5,1,Bagussekali,bagussekali,['bagussekali'],['bagussekali']
473,Love this apk,5,1,Lovethisapk,lovethisapk,['lovethisapk'],['lovethisapk']
474,aplikasi ini bagus banget 🥰,5,1,aplikasiinibagusbanget,aplikasiinibagusbanget,['aplikasiinibagusbanget'],['aplikasiinibagusbanget']
475,Bagus banget sngt mmbntu sekali,5,1,Bagusbangetsngtmmbntusekali,bagusbangetsngtmmbntusekali,['bagusbangetsngtmmbntusekali'],['bagusbangetsngtmmbntusekali']
476,Menarik,5,1,Menarik,menarik,['menarik'],['menarik']
477,Baik,4,1,Baik,baik,['baik'],['baik']
478,Sekrang nggk bisa post ulang trs nggk bisa di gedein biar ilang semua tulisannya tiktok apdate yg kyk dulu lagi dong,4,1,Sekrangnggkbisapostulangtrsnggkbisadigedeinbiarilangsemuatulisannyatiktokapdateygkykdululagidong,sekrangnggkbisapostulangtrsnggkbisadigedeinbiarilangsemuatulisannyatiktokapdateygkykdululagidong,['sekrangnggkbisapostulangtrsnggkbisadigedeinbiarilangsemuatulisannyatiktokapdateygkykdululagidong'],['sekrangnggkbisapostulangtrsnggkbisadigedeinbiarilangsemuatulisannyatiktokapdateygkykdululagidong']
479,Baik,3,0,Baik,baik,['baik'],['baik']
480,Semoga tambah bagus,5,1,Semogatambahbagus,semogatambahbagus,['semogatambahbagus'],['semogatambahbagus']
481,Suka,5,1,Suka,suka,['suka'],['suka']
482,Mantap,5,1,Mantap,mantap,['mantap'],['mantap']
483,Tiktok itu akan menyenankan kalo akun kita fyp,5,1,Tiktokituakanmenyenankankaloakunkitafyp,tiktokituakanmenyenankankaloakunkitafyp,['tiktokituakanmenyenankankaloakunkitafyp'],['tiktokituakanmenyenankankaloakunkitafyp']
484,"Gak ngapa2in, malah kenak blokir account saya. Tiktok aneh",1,-1,GakngapainmalahkenakblokiraccountsayaTiktokaneh,gakngapainmalahkenakblokiraccountsayatiktokaneh,['gakngapainmalahkenakblokiraccountsayatiktokaneh'],['gakngapainmalahkenakblokiraccountsayatiktokaneh']
485,mntap,4,1,mntap,mntap,['mntap'],['mntap']
486,Sangat menyenakan...🥰🥰🤩😍,5,1,Sangatmenyenakan,sangatmenyenakan,['sangatmenyenakan'],['sangatmenyenakan']
487,Apk ini asli,1,-1,Apkiniasli,apkiniasli,['apkiniasli'],['apkiniasli']
488,Sya suka dengan apk ini sangat sangat bagus bisa menghibur saya,5,1,Syasukadenganapkinisangatsangatbagusbisamenghibursaya,syasukadenganapkinisangatsangatbagusbisamenghibursaya,['syasukadenganapkinisangatsangatbagusbisamenghibursaya'],['syasukadenganapkinisangatsangatbagusbisamenghibursaya']
489,Usefull,5,1,Usefull,usefull,['usefull'],['usefull']
490,Msntap,1,-1,Msntap,msntap,['msntap'],['msntap']
491,Sangat terhhibur,4,1,Sangatterhhibur,sangatterhhibur,['sangatterhhibur'],['sangatterhhibur']
492,Intine FYPPPPP,5,1,IntineFYPPPPP,intinefyppppp,['intinefyppppp'],['intinefyppppp']
493,Bagus banget 😍,5,1,Bagusbanget,bagusbanget,['bagusbanget'],['bagusbanget']
494,kenapa tiba-tiba saat saya foto penyimpanan nx udah hilang?,5,1,kenapatibatibasaatsayafotopenyimpanannxudahhilang,kenapatibatibasaatsayafotopenyimpanannxudahhilang,['kenapatibatibasaatsayafotopenyimpanannxudahhilang'],['kenapatibatibasaatsayafotopenyimpanannxudahhilang']
495,Aku coba dulu bagus tambahan bintang,1,-1,Akucobadulubagustambahanbintang,akucobadulubagustambahanbintang,['akucobadulubagustambahanbintang'],['akucobadulubagustambahanbintang']
496,Bug tiktok aplikasi,1,-1,Bugtiktokaplikasi,bugtiktokaplikasi,['bugtiktokaplikasi'],['bugtiktokaplikasi']
497,Aplikasi ini sangat berguna bagi aku,5,1,Aplikasiinisangatbergunabagiaku,aplikasiinisangatbergunabagiaku,['aplikasiinisangatbergunabagiaku'],['aplikasiinisangatbergunabagiaku']
498,Ok,5,1,Ok,ok,['ok'],[]
499,Tik tok mantap,5,1,Tiktokmantap,tiktokmantap,['tiktokmantap'],['tiktokmantap']
500,Jaringan lelet,1,-1,Jaringanlelet,jaringanlelet,['jaringanlelet'],['jaringanlelet']
501,Buatmu❤️,5,1,Buatmu,buatmu,['buatmu'],['buatmu']
502,Elijeu Mendonça,5,1,ElijeuMendona,elijeumendona,['elijeumendona'],['elijeumendona']
503,Bagus cmn lemot d hp saya klw buka nya,5,1,Baguscmnlemotdhpsayaklwbukanya,baguscmnlemotdhpsayaklwbukanya,['baguscmnlemotdhpsayaklwbukanya'],['baguscmnlemotdhpsayaklwbukanya']
504,Menurut Aku Aplikasih nia sangat vagus,5,1,MenurutAkuAplikasihniasangatvagus,menurutakuaplikasihniasangatvagus,['menurutakuaplikasihniasangatvagus'],['menurutakuaplikasihniasangatvagus']
505,Kamales kerena lelen,1,-1,Kamaleskerenalelen,kamaleskerenalelen,['kamaleskerenalelen'],['kamaleskerenalelen']
506,mantap,5,1,mantap,mantap,['mantap'],['mantap']
507,Mantap,5,1,Mantap,mantap,['mantap'],['mantap']
508,Saya suka banget,5,1,Sayasukabanget,sayasukabanget,['sayasukabanget'],['sayasukabanget']
509,Terhibur,3,0,Terhibur,terhibur,['terhibur'],['terhibur']
510,Seru banget sumpah nonton nya,5,1,Serubangetsumpahnontonnya,serubangetsumpahnontonnya,['serubangetsumpahnontonnya'],['serubangetsumpahnontonnya']
511,Bagus nonton vidio bisa dapat cuan,5,1,Bagusnontonvidiobisadapatcuan,bagusnontonvidiobisadapatcuan,['bagusnontonvidiobisadapatcuan'],['bagusnontonvidiobisadapatcuan']
512,Good,5,1,Good,good,['good'],['good']
513,Ok,5,1,Ok,ok,['ok'],[]
514,Aplicasi Nia bakus Dan juga bisa dolat video yan kita mau,5,1,AplicasiNiabakusDanjugabisadolatvideoyankitamau,aplicasiniabakusdanjugabisadolatvideoyankitamau,['aplicasiniabakusdanjugabisadolatvideoyankitamau'],['aplicasiniabakusdanjugabisadolatvideoyankitamau']
515,Keren,5,1,Keren,keren,['keren'],['keren']
516,TiKToK Asoi,4,1,TiKToKAsoi,tiktokasoi,['tiktokasoi'],['tiktokasoi']
517,Mantap keren pokoknya membantu banget...🙏🏼,4,1,Mantapkerenpokoknyamembantubanget,mantapkerenpokoknyamembantubanget,['mantapkerenpokoknyamembantubanget'],['mantapkerenpokoknyamembantubanget']
518,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
519,he,1,-1,he,he,['he'],['he']
520,"aku sih disuruh download sama ayang, mangkanya ikutan download 🤪 awalnya paling anti si ama tiktok.. but gegara ayang mah apa si yg gk boleh azeeek 😁",3,0,akusihdisuruhdownloadsamaayangmangkanyaikutandownloadawalnyapalingantisiamatiktokbutgegaraayangmahapasiyggkbolehazeeek,akusihdisuruhdownloadsamaayangmangkanyaikutandownloadawalnyapalingantisiamatiktokbutgegaraayangmahapasiyggkbolehazeeek,['akusihdisuruhdownloadsamaayangmangkanyaikutandownloadawalnyapalingantisiamatiktokbutgegaraayangmahapasiyggkbolehazeeek'],['akusihdisuruhdownloadsamaayangmangkanyaikutandownloadawalnyapalingantisiamatiktokbutgegaraayangmahapasiyggkbolehazeeek']
521,Aplikasi tiktok benar menghibur bangat 👍👍👍👍👍,5,1,Aplikasitiktokbenarmenghiburbangat,aplikasitiktokbenarmenghiburbangat,['aplikasitiktokbenarmenghiburbangat'],['aplikasitiktokbenarmenghiburbangat']
522,dhfu,5,1,dhfu,dhfu,['dhfu'],['dhfu']
523,HareramYadav,4,1,HareramYadav,hareramyadav,['hareramyadav'],['hareramyadav']
524,Buruk,1,-1,Buruk,buruk,['buruk'],['buruk']
525,Sangat bagusss,5,1,Sangatbagusss,sangatbagusss,['sangatbagusss'],['sangatbagusss']
526,Aplikasi sangat bagus,1,-1,Aplikasisangatbagus,aplikasisangatbagus,['aplikasisangatbagus'],['aplikasisangatbagus']
527,"Sudah melakukan banding agar fitur terbuka tapi alasannya foto nya kurang jelas , padahal jelas jelas umur yang di masukan sudah memenuhi persyaratan . Banyak aturan tidak jelas .",1,-1,SudahmelakukanbandingagarfiturterbukatapialasannyafotonyakurangjelaspadahaljelasjelasumuryangdimasukansudahmemenuhipersyaratanBanyakaturantidakjelas,sudahmelakukanbandingagarfiturterbukatapialasannyafotonyakurangjelaspadahaljelasjelasumuryangdimasukansudahmemenuhipersyaratanbanyakaturantidakjelas,['sudahmelakukanbandingagarfiturterbukatapialasannyafotonyakurangjelaspadahaljelasjelasumuryangdimasukansudahmemenuhipersyaratanbanyakaturantidakjelas'],['sudahmelakukanbandingagarfiturterbukatapialasannyafotonyakurangjelaspadahaljelasjelasumuryangdimasukansudahmemenuhipersyaratanbanyakaturantidakjelas']
528,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
529,Aplikasi Nia tiktok Nia sangat bagus Sekali saya kasi bintang 5 dek,5,1,AplikasiNiatiktokNiasangatbagusSekalisayakasibintangdek,aplikasiniatiktokniasangatbagussekalisayakasibintangdek,['aplikasiniatiktokniasangatbagussekalisayakasibintangdek'],['aplikasiniatiktokniasangatbagussekalisayakasibintangdek']
530,"Kenapa tiktok semakin kesini semakin lemot, mau buka pusat afiliasi gak kebukabuka, loading mulu... Kuota mh kena kebuka engga, tolong dong di benerin",3,0,KenapatiktoksemakinkesinisemakinlemotmaubukapusatafiliasigakkebukabukaloadingmuluKuotamhkenakebukaenggatolongdongdibenerin,kenapatiktoksemakinkesinisemakinlemotmaubukapusatafiliasigakkebukabukaloadingmulukuotamhkenakebukaenggatolongdongdibenerin,['kenapatiktoksemakinkesinisemakinlemotmaubukapusatafiliasigakkebukabukaloadingmulukuotamhkenakebukaenggatolongdongdibenerin'],['kenapatiktoksemakinkesinisemakinlemotmaubukapusatafiliasigakkebukabukaloadingmulukuotamhkenakebukaenggatolongdongdibenerin']
531,Bagus banget,1,-1,Bagusbanget,bagusbanget,['bagusbanget'],['bagusbanget']
532,Keren,5,1,Keren,keren,['keren'],['keren']
533,Bagus sangat,5,1,Bagussangat,bagussangat,['bagussangat'],['bagussangat']
534,Karena bikin Saia lebih semangat untuk bekerja,5,1,KarenabikinSaialebihsemangatuntukbekerja,karenabikinsaialebihsemangatuntukbekerja,['karenabikinsaialebihsemangatuntukbekerja'],['karenabikinsaialebihsemangatuntukbekerja']
535,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
536,Coba dulu,4,1,Cobadulu,cobadulu,['cobadulu'],['cobadulu']
537,Lmbat,1,-1,Lmbat,lmbat,['lmbat'],['lmbat']
538,Coba di perbaiki,5,1,Cobadiperbaiki,cobadiperbaiki,['cobadiperbaiki'],['cobadiperbaiki']
539,Sangat penting untuk mencapai cita-cita dan tujuan nasional dan internasional yang telah berpartisipasi seputar produk dan layanan Telkomsel silakan mention kembali apabila ada yang bisa dibantu,5,1,SangatpentinguntukmencapaicitacitadantujuannasionaldaninternasionalyangtelahberpartisipasiseputarprodukdanlayananTelkomselsilakanmentionkembaliapabilaadayangbisadibantu,sangatpentinguntukmencapaicitacitadantujuannasionaldaninternasionalyangtelahberpartisipasiseputarprodukdanlayanantelkomselsilakanmentionkembaliapabilaadayangbisadibantu,['sangatpentinguntukmencapaicitacitadantujuannasionaldaninternasionalyangtelahberpartisipasiseputarprodukdanlayanantelkomselsilakanmentionkembaliapabilaadayangbisadibantu'],['sangatpentinguntukmencapaicitacitadantujuannasionaldaninternasionalyangtelahberpartisipasiseputarprodukdanlayanantelkomselsilakanmentionkembaliapabilaadayangbisadibantu']
540,"excuse me ,do u like u loveee me",5,1,excusemedoulikeuloveeeme,excusemedoulikeuloveeeme,['excusemedoulikeuloveeeme'],['excusemedoulikeuloveeeme']
541,Apaan akun baru login udah lag out sendiri ngak jelas... gimana aih ini aplikasinya ancr,5,1,Apaanakunbaruloginudahlagoutsendiringakjelasgimanaaihiniaplikasinyaancr,apaanakunbaruloginudahlagoutsendiringakjelasgimanaaihiniaplikasinyaancr,['apaanakunbaruloginudahlagoutsendiringakjelasgimanaaihiniaplikasinyaancr'],['apaanakunbaruloginudahlagoutsendiringakjelasgimanaaihiniaplikasinyaancr']
542,When TV hd web be web be,5,1,WhenTVhdwebbewebbe,whentvhdwebbewebbe,['whentvhdwebbewebbe'],['whentvhdwebbewebbe']
543,"Komentar ga kasar"" banget kok dihapus, sensitif bngt anjeng",1,-1,Komentargakasarbangetkokdihapussensitifbngtanjeng,komentargakasarbangetkokdihapussensitifbngtanjeng,['komentargakasarbangetkokdihapussensitifbngtanjeng'],['komentargakasarbangetkokdihapussensitifbngtanjeng']
544,Sangat 💯,5,1,Sangat,sangat,['sangat'],['sangat']
545,Pelepas tasa cape,5,1,Pelepastasacape,pelepastasacape,['pelepastasacape'],['pelepastasacape']
546,Tolong buka tiktok aku,5,1,Tolongbukatiktokaku,tolongbukatiktokaku,['tolongbukatiktokaku'],['tolongbukatiktokaku']
547,Mantap,5,1,Mantap,mantap,['mantap'],['mantap']
548,Good,5,1,Good,good,['good'],['good']
549,Even,5,1,Even,even,['even'],['even']
550,Ini benar benar bagus maka saya beri bintang 5,5,1,Inibenarbenarbagusmakasayaberibintang,inibenarbenarbagusmakasayaberibintang,['inibenarbenarbagusmakasayaberibintang'],['inibenarbenarbagusmakasayaberibintang']
551,Bagus cepat dan terhibur,5,1,Baguscepatdanterhibur,baguscepatdanterhibur,['baguscepatdanterhibur'],['baguscepatdanterhibur']
552,Kenapa saya tidak bisa masukin akun saya ke tik tok ini mohon di perbaiki lagi,1,-1,Kenapasayatidakbisamasukinakunsayaketiktokinimohondiperbaikilagi,kenapasayatidakbisamasukinakunsayaketiktokinimohondiperbaikilagi,['kenapasayatidakbisamasukinakunsayaketiktokinimohondiperbaikilagi'],['kenapasayatidakbisamasukinakunsayaketiktokinimohondiperbaikilagi']
553,Bagus sekali,5,1,Bagussekali,bagussekali,['bagussekali'],['bagussekali']
554,Tiktok saya tidak bisa live 😔😔,1,-1,Tiktoksayatidakbisalive,tiktoksayatidakbisalive,['tiktoksayatidakbisalive'],['tiktoksayatidakbisalive']
555,"tik tok ini bagus tapi update"" terus bikin kita bosan juga wkwkwkwkwk😂😂",5,1,tiktokinibagustapiupdateterusbikinkitabosanjugawkwkwkwkwk,tiktokinibagustapiupdateterusbikinkitabosanjugawkwkwkwkwk,['tiktokinibagustapiupdateterusbikinkitabosanjugawkwkwkwkwk'],['tiktokinibagustapiupdateterusbikinkitabosanjugawkwkwkwkwk']
556,apaan ni mo pos foto aja gak bisa jangan kasi batasan dong orang mau pos gak bisa 😡🤬🤬🤬🤬 aku gak mau tahu harus perbaiki akun gua gak bisa lagi buat aplot foto dan vidio 😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,1,-1,apaannimoposfotoajagakbisajangankasibatasandongorangmauposgakbisaakugakmautahuharusperbaikiakunguagakbisalagibuataplotfotodanvidio,apaannimoposfotoajagakbisajangankasibatasandongorangmauposgakbisaakugakmautahuharusperbaikiakunguagakbisalagibuataplotfotodanvidio,['apaannimoposfotoajagakbisajangankasibatasandongorangmauposgakbisaakugakmautahuharusperbaikiakunguagakbisalagibuataplotfotodanvidio'],['apaannimoposfotoajagakbisajangankasibatasandongorangmauposgakbisaakugakmautahuharusperbaikiakunguagakbisalagibuataplotfotodanvidio']
557,Bgus,5,1,Bgus,bgus,['bgus'],['bgus']
558,Tik tok seru banget,5,1,Tiktokserubanget,tiktokserubanget,['tiktokserubanget'],['tiktokserubanget']
559,Very good,5,1,Verygood,verygood,['verygood'],['verygood']
560,🤍,5,1,,,[],[]
561,Kahif,5,1,Kahif,kahif,['kahif'],['kahif']
562,Kenapa aplikasi lain ada fitur Sulap kok saya punya ini nggak ada sih... padahal dulu itu ada teruss hilang kenapa yah?,1,-1,KenapaaplikasilainadafiturSulapkoksayapunyaininggakadasihpadahalduluituadaterusshilangkenapayah,kenapaaplikasilainadafitursulapkoksayapunyaininggakadasihpadahalduluituadaterusshilangkenapayah,['kenapaaplikasilainadafitursulapkoksayapunyaininggakadasihpadahalduluituadaterusshilangkenapayah'],['kenapaaplikasilainadafitursulapkoksayapunyaininggakadasihpadahalduluituadaterusshilangkenapayah']
563,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
564,Ok,5,1,Ok,ok,['ok'],[]
565,Aku terhibur,5,1,Akuterhibur,akuterhibur,['akuterhibur'],['akuterhibur']
566,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
567,👍,5,1,,,[],[]
568,"Kenpa tiktok saya di blokir live permanen, sedangkan saya ga melanggar apapun, sudah 4 tahun tiktok saya ga bisa live",1,-1,Kenpatiktoksayadiblokirlivepermanensedangkansayagamelanggarapapunsudahtahuntiktoksayagabisalive,kenpatiktoksayadiblokirlivepermanensedangkansayagamelanggarapapunsudahtahuntiktoksayagabisalive,['kenpatiktoksayadiblokirlivepermanensedangkansayagamelanggarapapunsudahtahuntiktoksayagabisalive'],['kenpatiktoksayadiblokirlivepermanensedangkansayagamelanggarapapunsudahtahuntiktoksayagabisalive']
569,Good,5,1,Good,good,['good'],['good']
570,Aplkasi sangat membantu belajar Meng hibur dang menhilakan bosang,5,1,AplkasisangatmembantubelajarMenghiburdangmenhilakanbosang,aplkasisangatmembantubelajarmenghiburdangmenhilakanbosang,['aplkasisangatmembantubelajarmenghiburdangmenhilakanbosang'],['aplkasisangatmembantubelajarmenghiburdangmenhilakanbosang']
571,Updated mulu😪😪😤😤,1,-1,Updatedmulu,updatedmulu,['updatedmulu'],['updatedmulu']
572,Bagus bngt,5,1,Bagusbngt,bagusbngt,['bagusbngt'],['bagusbngt']
573,Kenapa tiktok kami slalu cepat rusak,5,1,Kenapatiktokkamislalucepatrusak,kenapatiktokkamislalucepatrusak,['kenapatiktokkamislalucepatrusak'],['kenapatiktokkamislalucepatrusak']
574,Sangat berguna,5,1,Sangatberguna,sangatberguna,['sangatberguna'],['sangatberguna']
575,Ini itu selalu keluar iklan pazel,1,-1,Iniituselalukeluariklanpazel,iniituselalukeluariklanpazel,['iniituselalukeluariklanpazel'],['iniituselalukeluariklanpazel']
576,Eror,5,1,Eror,eror,['eror'],['eror']
577,Okey,5,1,Okey,okey,['okey'],['okey']
578,Awesome an application ever,5,1,Awesomeanapplicationever,awesomeanapplicationever,['awesomeanapplicationever'],['awesomeanapplicationever']
579,F i z h s,5,1,Fizhs,fizhs,['fizhs'],['fizhs']
580,Jos,5,1,Jos,jos,['jos'],['jos']
581,Aplikasi bagus,5,1,Aplikasibagus,aplikasibagus,['aplikasibagus'],['aplikasibagus']
582,"saya kena pelanggaran dibawah umur 16 tahun, padahal saya sudah kirim permohonan banding... sudah kirim ktp dan selfie katanya suruh nunggu 24 jam tapi mana hasilnya?? udah 3 hari ga ada hasill.... tolong dong dibenerin.",1,-1,sayakenapelanggarandibawahumurtahunpadahalsayasudahkirimpermohonanbandingsudahkirimktpdanselfiekatanyasuruhnunggujamtapimanahasilnyaudahharigaadahasilltolongdongdibenerin,sayakenapelanggarandibawahumurtahunpadahalsayasudahkirimpermohonanbandingsudahkirimktpdanselfiekatanyasuruhnunggujamtapimanahasilnyaudahharigaadahasilltolongdongdibenerin,['sayakenapelanggarandibawahumurtahunpadahalsayasudahkirimpermohonanbandingsudahkirimktpdanselfiekatanyasuruhnunggujamtapimanahasilnyaudahharigaadahasilltolongdongdibenerin'],['sayakenapelanggarandibawahumurtahunpadahalsayasudahkirimpermohonanbandingsudahkirimktpdanselfiekatanyasuruhnunggujamtapimanahasilnyaudahharigaadahasilltolongdongdibenerin']
583,Keren,5,1,Keren,keren,['keren'],['keren']
584,Seabad nginstal di hp j2 prime🤣🤣🤣,5,1,Seabadnginstaldihpjprime,seabadnginstaldihpjprime,['seabadnginstaldihpjprime'],['seabadnginstaldihpjprime']
585,اووو,5,1,,,[],[]
586,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
587,Tetap tambakan imajinasi Nia 💯,5,1,TetaptambakanimajinasiNia,tetaptambakanimajinasinia,['tetaptambakanimajinasinia'],['tetaptambakanimajinasinia']
588,Thanks tiktok,4,1,Thankstiktok,thankstiktok,['thankstiktok'],['thankstiktok']
589,Kenapa ga bisa login,3,0,Kenapagabisalogin,kenapagabisalogin,['kenapagabisalogin'],['kenapagabisalogin']
590,Sangat baik,5,1,Sangatbaik,sangatbaik,['sangatbaik'],['sangatbaik']
591,Aplikasi ini bagus banget saya suka,5,1,Aplikasiinibagusbangetsayasuka,aplikasiinibagusbangetsayasuka,['aplikasiinibagusbangetsayasuka'],['aplikasiinibagusbangetsayasuka']
